epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,417.784,1.02939,0.66751,0.94816,0.72767,0.71794,0.74597,0.49965,1.20545,0.84444,1.06807,0.000742625,0.000742625,0.000742625
43,427.287,1.02903,0.66723,0.94901,0.7326,0.74677,0.74274,0.48522,1.21142,0.76846,1.07129,0.00073025,0.00073025,0.00073025
44,437.177,1.01169,0.65409,0.93906,0.71656,0.71573,0.73102,0.48335,1.18981,0.79467,1.06247,0.000717875,0.000717875,0.000717875
45,447.056,1.00881,0.64036,0.94657,0.71007,0.7203,0.73977,0.50487,1.18243,0.78389,1.06494,0.0007055,0.0007055,0.0007055
46,456.886,1.01892,0.65324,0.94161,0.75837,0.69405,0.75877,0.5062,1.17713,0.76183,1.06243,0.000693125,0.000693125,0.000693125
47,466.608,1.01603,0.6371,0.9428,0.67519,0.77142,0.74544,0.48949,1.18668,0.75201,1.06588,0.00068075,0.00068075,0.00068075
48,476.572,1.00118,0.62714,0.94053,0.76392,0.74043,0.74367,0.48998,1.19575,0.78579,1.06668,0.000668375,0.000668375,0.000668375
49,486.385,0.99387,0.61613,0.93503,0.76184,0.71921,0.7532,0.50502,1.1756,0.77387,1.06042,0.000656,0.000656,0.000656
50,496.335,1.0057,0.6318,0.93549,0.71707,0.74653,0.72408,0.47629,1.16954,0.76652,1.05819,0.000643625,0.000643625,0.000643625
51,506.205,0.98662,0.62218,0.93246,0.74452,0.73116,0.74566,0.49956,1.20896,0.76601,1.08308,0.00063125,0.00063125,0.00063125
52,516.07,0.99331,0.62142,0.92969,0.67531,0.77779,0.73777,0.48677,1.21264,0.76865,1.07934,0.000618875,0.000618875,0.000618875
53,525.867,0.98929,0.61595,0.9359,0.71342,0.75972,0.73806,0.49361,1.19308,0.7946,1.06169,0.0006065,0.0006065,0.0006065
54,535.665,0.97769,0.59765,0.92659,0.75434,0.74239,0.76295,0.49947,1.19399,0.76211,1.07658,0.000594125,0.000594125,0.000594125
55,545.484,0.97053,0.60075,0.92786,0.70913,0.74033,0.73755,0.49782,1.17907,0.77183,1.0578,0.00058175,0.00058175,0.00058175
56,555.372,0.97133,0.5905,0.9269,0.74011,0.74761,0.75946,0.49956,1.19199,0.75929,1.07807,0.000569375,0.000569375,0.000569375
57,564.514,0.97583,0.59666,0.93136,0.72935,0.78337,0.75294,0.49379,1.1971,0.78119,1.07691,0.000557,0.000557,0.000557
58,573.278,0.97543,0.59134,0.92678,0.73966,0.72872,0.73545,0.48698,1.18818,0.78202,1.06571,0.000544625,0.000544625,0.000544625
59,582.087,0.9728,0.59343,0.92499,0.71927,0.75314,0.73013,0.49058,1.19322,0.76524,1.06915,0.00053225,0.00053225,0.00053225
60,590.982,0.96668,0.58497,0.92662,0.75616,0.70789,0.74786,0.49091,1.20768,0.79314,1.07426,0.000519875,0.000519875,0.000519875
61,599.788,0.96272,0.58403,0.9265,0.7359,0.77085,0.76358,0.49793,1.19279,0.76596,1.06636,0.0005075,0.0005075,0.0005075
62,608.575,0.95774,0.57257,0.92598,0.79614,0.70651,0.75896,0.50393,1.19539,0.7578,1.07483,0.000495125,0.000495125,0.000495125
63,617.357,0.95647,0.57457,0.92318,0.75218,0.70013,0.74691,0.49234,1.21778,0.7676,1.09988,0.00048275,0.00048275,0.00048275
64,626.166,0.94786,0.56704,0.91973,0.75664,0.71825,0.74875,0.4829,1.19505,0.79631,1.07861,0.000470375,0.000470375,0.000470375
65,634.99,0.94487,0.56409,0.91609,0.73635,0.72772,0.7354,0.48434,1.21665,0.78353,1.08185,0.000458,0.000458,0.000458
66,643.845,0.93494,0.55444,0.92097,0.72563,0.72817,0.74936,0.4839,1.19923,0.77472,1.07398,0.000445625,0.000445625,0.000445625
67,652.698,0.94083,0.56165,0.91698,0.77388,0.71756,0.72508,0.4702,1.21862,0.82122,1.08821,0.00043325,0.00043325,0.00043325
68,661.702,0.9374,0.56162,0.91764,0.74655,0.72035,0.75243,0.48487,1.20267,0.78011,1.08213,0.000420875,0.000420875,0.000420875
69,670.601,0.92097,0.55429,0.90914,0.7707,0.71875,0.73866,0.49007,1.20231,0.78583,1.08536,0.0004085,0.0004085,0.0004085
70,679.477,0.92391,0.55635,0.91142,0.72128,0.73009,0.75093,0.48953,1.2215,0.83769,1.09046,0.000396125,0.000396125,0.000396125
71,688.303,0.92161,0.54317,0.91663,0.7466,0.74009,0.74889,0.48217,1.21607,0.79907,1.08141,0.00038375,0.00038375,0.00038375
