epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2553.68,1.20965,0.80409,0.00365,0.80018,0.74432,0.80522,0.5265,1.22442,0.79236,0.00611,0.00091175,0.00091175,0.00091175
43,2612.72,1.18688,0.78945,0.00359,0.75555,0.78959,0.81641,0.53241,1.21921,0.74634,0.00591,0.0009035,0.0009035,0.0009035
44,2671.75,1.21425,0.78339,0.00375,0.80213,0.75536,0.80278,0.50239,1.29232,0.78661,0.00665,0.00089525,0.00089525,0.00089525
45,2731.04,1.18236,0.78473,0.00359,0.70161,0.73716,0.76804,0.50344,1.21244,0.80692,0.0061,0.000887,0.000887,0.000887
46,2790.3,1.19946,0.77768,0.00359,0.75908,0.76614,0.79758,0.52464,1.21516,0.78065,0.0061,0.00087875,0.00087875,0.00087875
47,2849.46,1.17957,0.77061,0.00357,0.79563,0.75293,0.80269,0.51499,1.23902,0.79606,0.0061,0.0008705,0.0008705,0.0008705
48,2908.47,1.18834,0.76417,0.00357,0.79192,0.70278,0.8022,0.54237,1.18347,0.81277,0.00576,0.00086225,0.00086225,0.00086225
49,2967.65,1.17393,0.76982,0.00349,0.82028,0.7235,0.78547,0.50862,1.21942,0.84787,0.00584,0.000854,0.000854,0.000854
50,3026.74,1.18329,0.74774,0.00348,0.76884,0.72558,0.79011,0.50239,1.26057,0.88386,0.00634,0.00084575,0.00084575,0.00084575
51,3085.89,1.1665,0.72458,0.00346,0.8317,0.71579,0.81467,0.52312,1.23221,0.78842,0.00614,0.0008375,0.0008375,0.0008375
52,3145.09,1.15336,0.73042,0.0034,0.7897,0.77969,0.823,0.53246,1.21485,0.76957,0.00602,0.00082925,0.00082925,0.00082925
53,3204.42,1.16294,0.74718,0.00346,0.78513,0.74645,0.80476,0.50211,1.2458,0.80746,0.00639,0.000821,0.000821,0.000821
54,3263.8,1.17143,0.74634,0.0035,0.78154,0.76722,0.81325,0.54061,1.18574,0.73836,0.00586,0.00081275,0.00081275,0.00081275
55,3323.2,1.16097,0.74306,0.00343,0.76634,0.76802,0.80997,0.53179,1.21003,0.79293,0.0059,0.0008045,0.0008045,0.0008045
56,3382.63,1.13565,0.70922,0.00345,0.78202,0.74692,0.78234,0.52567,1.19356,0.77672,0.00588,0.00079625,0.00079625,0.00079625
57,3441.96,1.14334,0.72004,0.00342,0.72042,0.83402,0.81912,0.53608,1.21507,0.77396,0.00597,0.000788,0.000788,0.000788
58,3501.38,1.13664,0.70912,0.0034,0.79143,0.76852,0.81083,0.54003,1.1919,0.77577,0.00578,0.00077975,0.00077975,0.00077975
59,3560.79,1.13737,0.70278,0.00339,0.75658,0.82183,0.82719,0.55534,1.21656,0.76986,0.00617,0.0007715,0.0007715,0.0007715
60,3620.44,1.12825,0.69925,0.0033,0.76434,0.73794,0.78816,0.5104,1.21085,0.82215,0.0059,0.00076325,0.00076325,0.00076325
61,3679.65,1.12797,0.69163,0.00336,0.75737,0.75425,0.79278,0.52134,1.22354,0.79124,0.00612,0.000755,0.000755,0.000755
62,3739.1,1.1273,0.699,0.00331,0.808,0.73763,0.80038,0.537,1.20858,0.81374,0.006,0.00074675,0.00074675,0.00074675
63,3798.61,1.11369,0.67642,0.00333,0.8034,0.75839,0.80631,0.53349,1.22937,0.80596,0.00604,0.0007385,0.0007385,0.0007385
